region,year,male,female
АР Крим,1989,31.5,36.2
АР Крим,1990,31.4,35.8
АР Крим,1991,31.6,36.0
АР Крим,1992,31.8,36.2
АР Крим,1993,32.1,36.5
АР Крим,1994,32.5,36.9
АР Крим,1995,32.9,37.4
АР Крим,1996,33.2,37.9
АР Крим,1997,33.6,38.4
АР Крим,1998,34.0,38.9
АР Крим,1999,34.4,39.4
АР Крим,2000,34.8,40.0
АР Крим,2001,35.1,40.4
АР Крим,2002,34.4,39.9
АР Крим,2003,35.5,41.3
АР Крим,2004,35.6,41.7
АР Крим,2005,35.7,42.1
АР Крим,2006,35.8,42.4
АР Крим,2007,35.8,42.7
АР Крим,2008,35.9,42.9
АР Крим,2009,35.9,43.1
АР Крим,2010,35.9,43.3
АР Крим,2011,36.0,43.4
АР Крим,2012,36.1,43.4
АР Крим,2013,36.2,43.5
АР Крим,2014,36.3,43.6
Вінницька ,1989,33.8,43.2
Вінницька ,1990,33.8,42.7
Вінницька ,1991,33.8,42.4
Вінницька ,1992,33.9,42.4
Вінницька ,1993,33.9,42.2
Вінницька ,1994,33.9,42.1
Вінницька ,1995,34.1,42.0
Вінницька ,1996,34.3,41.9
Вінницька ,1997,34.4,41.8
Вінницька ,1998,34.6,41.8
Вінницька ,1999,34.8,41.8
Вінницька ,2000,35.0,41.9
Вінницька ,2001,35.2,42.0
Вінницька ,2002,34.5,41.2
Вінницька ,2003,35.6,42.4
Вінницька ,2004,35.8,42.5
Вінницька ,2005,36.0,42.8
Вінницька ,2006,36.1,42.9
Вінницька ,2007,36.3,43.1
Вінницька ,2008,36.4,43.2
Вінницька ,2009,36.5,43.2
Вінницька ,2010,36.7,43.3
Вінницька ,2011,36.8,43.4
Вінницька ,2012,37.0,43.4
Вінницька ,2013,37.1,43.5
Вінницька ,2014,37.3,43.6
Вінницька ,2015,37.4,43.7
Вінницька ,2016,37.5,43.9
Волинська ,1989,30.2,35.5
Волинська ,1990,30.4,35.5
Волинська ,1991,30.6,35.4
Волинська ,1992,30.8,35.5
Волинська ,1993,31.0,35.5
Волинська ,1994,31.0,35.6
Волинська ,1995,31.2,35.9
Волинська ,1996,31.3,36.1
Волинська ,1997,31.4,36.4
Волинська ,1998,31.5,36.7
Волинська ,1999,31.7,37.0
Волинська ,2000,31.8,37.2
Волинська ,2001,31.9,37.4
Волинська ,2002,31.1,36.6
Волинська ,2003,32.2,37.8
Волинська ,2004,32.4,37.9
Волинська ,2005,32.5,38.0
Волинська ,2006,32.6,38.0
Волинська ,2007,32.7,38.1
Волинська ,2008,32.8,38.0
Волинська ,2009,32.8,38.1
Волинська ,2010,32.9,38.1
Волинська ,2011,32.9,38.2
Волинська ,2012,33.1,38.2
Волинська ,2013,33.2,38.3
Волинська ,2014,33.4,38.4
Волинська ,2015,33.5,38.5
Волинська ,2016,33.7,38.6
Дніпропетровська ,1989,32.1,37.2
Дніпропетровська ,1990,32.3,37.4
Дніпропетровська ,1991,32.6,37.6
Дніпропетровська ,1992,32.9,37.8
Дніпропетровська ,1993,33.1,38.0
Дніпропетровська ,1994,33.4,38.2
Дніпропетровська ,1995,33.8,38.5
Дніпропетровська ,1996,34.1,38.8
Дніпропетровська ,1997,34.4,39.2
Дніпропетровська ,1998,34.7,39.6
Дніпропетровська ,1999,35.0,40.0
Дніпропетровська ,2000,35.3,40.4
Дніпропетровська ,2001,35.5,40.9
Дніпропетровська ,2002,34.7,40.3
Дніпропетровська ,2003,35.8,41.7
Дніпропетровська ,2004,35.9,42.1
Дніпропетровська ,2005,35.9,42.4
Дніпропетровська ,2006,35.9,42.7
Дніпропетровська ,2007,36.0,43.0
Дніпропетровська ,2008,36.1,43.2
Дніпропетровська ,2009,36.1,43.3
Дніпропетровська ,2010,36.2,43.5
Дніпропетровська ,2011,36.3,43.6
Дніпропетровська ,2012,36.4,43.7
Дніпропетровська ,2013,36.6,43.9
Дніпропетровська ,2014,36.7,44.0
Дніпропетровська ,2015,36.9,44.1
Дніпропетровська ,2016,37.0,44.3
Донецька ,1989,32.9,38.3
Донецька ,1990,33.3,38.5
Донецька ,1991,33.7,38.8
Донецька ,1992,34.0,39.0
Донецька ,1993,34.3,39.2
Донецька ,1994,34.7,39.5
Донецька ,1995,35.1,39.9
Донецька ,1996,35.4,40.1
Донецька ,1997,35.8,40.5
Донецька ,1998,36.1,40.9
Донецька ,1999,36.4,41.3
Донецька ,2000,36.8,41.7
Донецька ,2001,37.0,42.1
Донецька ,2002,36.2,41.6
Донецька ,2003,37.3,43.0
Донецька ,2004,37.4,43.4
Донецька ,2005,37.4,43.8
Донецька ,2006,37.4,44.2
Донецька ,2007,37.4,44.5
Донецька ,2008,37.5,44.8
Донецька ,2009,37.6,45.0
Донецька ,2010,37.7,45.3
Донецька ,2011,37.8,45.4
Донецька ,2012,37.9,45.6
Донецька ,2013,38.0,45.8
Донецька ,2014,38.2,45.9
Донецька ,2015,38.6,46.1
Донецька ,2016,39.2,46.7
Житомирська ,1989,32.2,39.8
Житомирська ,1990,32.5,39.8
Житомирська ,1991,32.9,40.2
Житомирська ,1992,33.2,40.3
Житомирська ,1993,33.2,40.1
Житомирська ,1994,33.3,40.0
Житомирська ,1995,33.5,40.0
Житомирська ,1996,33.7,40.2
Житомирська ,1997,33.9,40.3
Житомирська ,1998,34.1,40.4
Житомирська ,1999,34.3,40.6
Житомирська ,2000,34.5,40.8
Житомирська ,2001,34.8,41.0
Житомирська ,2002,34.0,40.3
Житомирська ,2003,35.1,41.5
Житомирська ,2004,35.2,41.7
Житомирська ,2005,35.3,41.9
Житомирська ,2006,35.4,42.1
Житомирська ,2007,35.5,42.2
Житомирська ,2008,35.6,42.2
Житомирська ,2009,35.6,42.3
Житомирська ,2010,35.7,42.4
Житомирська ,2011,35.8,42.5
Житомирська ,2012,36.0,42.5
Житомирська ,2013,36.1,42.6
Житомирська ,2014,36.1,42.7
Житомирська ,2015,36.2,42.8
Житомирська ,2016,36.3,43.0
Закарпатська ,1989,28.5,31.3
Закарпатська ,1990,28.7,31.6
Закарпатська ,1991,29.0,31.9
Закарпатська ,1992,29.2,32.2
Закарпатська ,1993,29.3,32.5
Закарпатська ,1994,29.5,32.8
Закарпатська ,1995,29.7,33.1
Закарпатська ,1996,29.8,33.4
Закарпатська ,1997,29.9,33.7
Закарпатська ,1998,30.1,34.1
Закарпатська ,1999,30.4,34.4
Закарпатська ,2000,30.6,34.7
Закарпатська ,2001,30.8,35.0
Закарпатська ,2002,30.1,34.2
Закарпатська ,2003,31.4,35.5
Закарпатська ,2004,31.6,35.7
Закарпатська ,2005,31.8,35.9
Закарпатська ,2006,32.0,36.0
Закарпатська ,2007,32.2,36.2
Закарпатська ,2008,32.4,36.4
Закарпатська ,2009,32.5,36.5
Закарпатська ,2010,32.7,36.7
Закарпатська ,2011,32.8,36.8
Закарпатська ,2012,33.0,37.0
Закарпатська ,2013,33.2,37.1
Закарпатська ,2014,33.4,37.3
Закарпатська ,2015,33.6,37.4
Закарпатська ,2016,33.8,37.5
Запорізька ,1989,32.3,37.0
Запорізька ,1990,32.4,37.2
Запорізька ,1991,32.7,37.4
Запорізька ,1992,32.9,37.7
Запорізька ,1993,33.2,37.9
Запорізька ,1994,33.5,38.2
Запорізька ,1995,33.9,38.6
Запорізька ,1996,34.2,39.0
Запорізька ,1997,34.5,39.4
Запорізька ,1998,34.8,39.8
Запорізька ,1999,35.2,40.3
Запорізька ,2000,35.6,40.8
Запорізька ,2001,35.9,41.2
Запорізька ,2002,35.1,40.7
Запорізька ,2003,36.3,42.1
Запорізька ,2004,36.4,42.5
Запорізька ,2005,36.5,42.9
Запорізька ,2006,36.6,43.2
Запорізька ,2007,36.7,43.5
Запорізька ,2008,36.8,43.8
Запорізька ,2009,36.9,44.0
Запорізька ,2010,37.1,44.2
Запорізька ,2011,37.2,44.4
Запорізька ,2012,37.4,44.6
Запорізька ,2013,37.5,44.8
Запорізька ,2014,37.8,45.0
Запорізька ,2015,38.0,45.1
Запорізька ,2016,38.2,45.3
Івано-Франківська ,1989,29.7,34.8
Івано-Франківська ,1990,29.9,34.9
Івано-Франківська ,1991,30.1,34.9
Івано-Франківська ,1992,30.4,35.0
Івано-Франківська ,1993,30.6,35.1
Івано-Франківська ,1994,30.9,35.4
Івано-Франківська ,1995,31.1,35.7
